S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,02-Apr-2024,100004872824968,142488870209280,1551228,5151.8,03-Apr-2024,,
2,02-Apr-2024,100004891363163,137768877431078,1551230,358.15,03-Apr-2024,,
3,02-Apr-2024,100004886579471,383046875636888,1551231,645,03-Apr-2024,,
4,02-Apr-2024,100004891046205,103072877199556,1551233,360.85,03-Apr-2024,,
5,02-Apr-2024,100004890780517,144654877186052,1551234,382.7,03-Apr-2024,,
6,02-Apr-2024,100004889758305,818948876827010,1551235,1626.75,03-Apr-2024,,
7,02-Apr-2024,100004889620656,203191876793064,1551236,530.4,03-Apr-2024,,
8,02-Apr-2024,100004875904006,164450871153396,1551238,341.44,03-Apr-2024,,
9,02-Apr-2024,100004878290870,212900872241492,1551239,1415.36,03-Apr-2024,,
10,02-Apr-2024,100004889572979,216181876792659,1551240,125,03-Apr-2024,,
11,02-Apr-2024,100004890401451,123488877014881,1551243,177.7,03-Apr-2024,,
12,02-Apr-2024,100004871337459,191926869723290,1551244,5900.72,03-Apr-2024,,
13,02-Apr-2024,100004840723908,471693858976350,1551245,580,03-Apr-2024,,
14,02-Apr-2024,100004672664508,924518805549418,1551246,815.28,03-Apr-2024,,
15,02-Apr-2024,100004890110828,886081876917293,1551248,1188.6,03-Apr-2024,,
16,02-Apr-2024,100004886579498,262867875639912,1551249,345.36,03-Apr-2024,,
17,02-Apr-2024,100004890231515,848581876927056,1551250,870.4,03-Apr-2024,,
18,02-Apr-2024,100004890021054,324721876864127,1551251,865.4,03-Apr-2024,,
19,02-Apr-2024,100004891196665,369727877338922,1551254,998.15,03-Apr-2024,,
20,02-Apr-2024,100004888853138,525960876438712,1551255,170.72,03-Apr-2024,,
21,02-Apr-2024,100004890289174,232588876934169,1551256,1103.15,03-Apr-2024,,
22,02-Apr-2024,100004887895633,170854876106076,1551257,120,03-Apr-2024,,
23,02-Apr-2024,100004890547827,888131877118103,1551259,6697.2,03-Apr-2024,,
24,02-Apr-2024,100004891262666,201211877418935,1551260,765.4,03-Apr-2024,,
25,02-Apr-2024,100004886279423,432654875533536,1551261,95,03-Apr-2024,,
26,02-Apr-2024,100004688317242,189679809474491,1551262,500.28,03-Apr-2024,,
27,02-Apr-2024,100004843662956,121645859823631,1551263,1590,03-Apr-2024,,
28,02-Apr-2024,100004891265130,765049877324748,1551264,1685.4,03-Apr-2024,,
29,02-Apr-2024,100004878379277,199044872236075,1551265,255,03-Apr-2024,,
30,02-Apr-2024,100004886306678,787960875533893,1551266,436.08,03-Apr-2024,,
