S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,13-Apr-2024,100004911592631,198738884781475,1551964,50.36,15-Apr-2024,,
2,13-Apr-2024,100004913283074,100960885337574,1551975,728.6,15-Apr-2024,,
3,13-Apr-2024,100004913235562,192566885335383,1551990,588.15,15-Apr-2024,,
4,13-Apr-2024,100004758826206,213146829784675,1552001,80,15-Apr-2024,,
5,12-Apr-2024,100004874696535,131969870691328,1551915,505.36,15-Apr-2024,,
6,12-Apr-2024,100004697906733,165097812606726,1551920,1440.56,15-Apr-2024,,
7,14-Apr-2024,100004911140397,169261884516397,1552017,1941.44,15-Apr-2024,,
8,14-Apr-2024,100004911207484,130746884520191,1552022,120.36,15-Apr-2024,,
9,14-Apr-2024,100004845637939,887239860347248,1552027,3870.72,15-Apr-2024,,
10,14-Apr-2024,100004915579506,590208885943200,1552032,4268.1,15-Apr-2024,,
11,14-Apr-2024,100004910927265,200454884476393,1552037,580,15-Apr-2024,,
12,14-Apr-2024,100004915654477,354255885957155,1552042,1279.05,15-Apr-2024,,
13,14-Apr-2024,100004911504853,910981884755260,1552047,9975,15-Apr-2024,,
14,12-Apr-2024,100004906829816,156733882991480,1551907,160.72,15-Apr-2024,,
15,12-Apr-2024,100004825164038,726859852935417,1551908,125,15-Apr-2024,,
16,12-Apr-2024,100004910965798,165459884515909,1551909,4819.5,15-Apr-2024,,
17,12-Apr-2024,100004888487430,134554876277838,1551910,300,15-Apr-2024,,
18,12-Apr-2024,100004851873645,115350863029513,1551911,1790.72,15-Apr-2024,,
19,12-Apr-2024,100004911279057,889767884518575,1551912,1539.5,15-Apr-2024,,
20,12-Apr-2024,100004904793442,213910882409807,1551913,760,15-Apr-2024,,
21,12-Apr-2024,100004781998081,623260838315743,1551914,275,15-Apr-2024,,
22,14-Apr-2024,100004725781813,180372821460574,1552006,1930.56,15-Apr-2024,,
23,14-Apr-2024,100004899185569,167959880414335,1552007,4185,15-Apr-2024,,
24,14-Apr-2024,100004902816379,963959881474566,1552008,850.36,15-Apr-2024,,
25,14-Apr-2024,100004915578771,152512885951237,1552009,208.15,15-Apr-2024,,
26,14-Apr-2024,100004727306227,402955821988210,1552010,965.28,15-Apr-2024,,
27,14-Apr-2024,100004856582152,527759864653168,1552011,325,15-Apr-2024,,
28,14-Apr-2024,100004855143284,174761864346655,1552012,690.72,15-Apr-2024,,
29,14-Apr-2024,100004915538768,234043885944730,1552013,875.4,15-Apr-2024,,
30,14-Apr-2024,100004849236969,182894862082492,1552014,100.36,15-Apr-2024,,
31,12-Apr-2024,100004859334880,530783865371540,1551925,4711.08,15-Apr-2024,,
32,12-Apr-2024,100004835896188,167308857140134,1551930,110,15-Apr-2024,,
33,12-Apr-2024,100004678653679,153742807470905,1551935,250,15-Apr-2024,,
34,12-Apr-2024,100004911889034,153507884905733,1551953,3861.44,15-Apr-2024,,
35,13-Apr-2024,100004912833290,194121885274327,1551954,1080.85,15-Apr-2024,,
36,13-Apr-2024,100004913713617,348704885472502,1551955,730.72,15-Apr-2024,,
37,13-Apr-2024,100004897899527,209752880141646,1551956,540,15-Apr-2024,,
38,13-Apr-2024,100004674624769,164327806195951,1551958,175.28,15-Apr-2024,,
39,13-Apr-2024,100004888897058,152539876461834,1551959,1290,15-Apr-2024,,
40,13-Apr-2024,100004831083519,975467855043216,1551960,880,15-Apr-2024,,
41,13-Apr-2024,100004893257480,220861878191654,1551961,995.36,15-Apr-2024,,
42,13-Apr-2024,100004912510872,204370885245889,1551963,1290,15-Apr-2024,,
43,13-Apr-2024,100004906607575,191926882941337,1551965,90,15-Apr-2024,,
44,13-Apr-2024,100004880307820,120077873100522,1551966,195,15-Apr-2024,,
45,13-Apr-2024,100004914613367,927496885894410,1551968,148.15,15-Apr-2024,,
46,13-Apr-2024,100004909418742,161824884088371,1551969,9920,15-Apr-2024,,
47,13-Apr-2024,100004880636264,627754873292637,1551970,200.72,15-Apr-2024,,
48,13-Apr-2024,100004784186955,115594838960688,1551971,435.28,15-Apr-2024,,
49,13-Apr-2024,100004880993160,127458873528331,1551973,125,15-Apr-2024,,
50,13-Apr-2024,100004674719393,321570806198193,1551974,230.28,15-Apr-2024,,
51,13-Apr-2024,100004807211400,672085846894875,1551976,1120,15-Apr-2024,,
52,13-Apr-2024,100004880307786,530815873093804,1551978,195,15-Apr-2024,,
53,13-Apr-2024,100004908308571,194634883774215,1551979,200,15-Apr-2024,,
54,13-Apr-2024,100004744575526,111666825642224,1551980,1700.56,15-Apr-2024,,
55,13-Apr-2024,100004910126104,204701884307376,1551981,595,15-Apr-2024,,
56,13-Apr-2024,100004895358560,172045879017575,1551983,265,15-Apr-2024,,
57,13-Apr-2024,100004905097998,212242882608156,1551984,645,15-Apr-2024,,
58,13-Apr-2024,100004908609470,198946883820144,1551985,3790,15-Apr-2024,,
59,13-Apr-2024,100004908992399,867321883883221,1551986,1510,15-Apr-2024,,
60,13-Apr-2024,100004911506044,916413884638496,1551987,140,15-Apr-2024,,
61,13-Apr-2024,100004912699740,743064885274216,1551988,5211.75,15-Apr-2024,,
